ID,SOURCE_ID (Owner ou Business Process),TARGET_ID (Owner),TYPE (= “DPND”)
70,SERVICE ENSEIGNE REGIONALE PROXI PARIS CENTRE,DIRECTION REGIONALE PARIS CENTRE,
71,SERVICE MULTI ENSEIGNE REGIONALE PARIS CENTRE 1,DIRECTION REGIONALE PARIS CENTRE,
72,SERVICE DEVELOPPEMENT COMMERCIAL REGIONAL PARIS CENTRE,DIRECTION REGIONALE PARIS CENTRE,
73,SERVICE MULTI ENSEIGNE REGIONALE PARIS CENTRE 4,DIRECTION REGIONALE PARIS CENTRE,
74,SERVICE ENSEIGNE REGIONALE PROXI NORD,DIRECTION REGIONALE NORD,
75,SERVICE DEVELOPPEMENT REGIONALE NORD,DIRECTION REGIONALE NORD,
76,SERVICE MULTI ENSEIGNE REGIONALE NORD 1,DIRECTION REGIONALE NORD,
77,SERVICE MULTI ENSEIGNE REGIONALE NORD 2,DIRECTION REGIONALE NORD,
78,SERVICE DEVELOPPEMENT COMMERCIAL REGIONAL NORD,DIRECTION REGIONALE NORD,
79,SERVICE MULTI ENSEIGNE REGIONALE NORD 3,DIRECTION REGIONALE NORD,
80,SERVICE MARKETING PGC,SERVICE DEVELOPPEMENT COMMERCIAL REGIONAL NORD,
81,SERVICE MULTI ENSEIGNE REGIONALE SUD EST 1,DIRECTION REGIONALE SUD EST,
82,SERVICE DEVELOPPEMENT REGIONALE SUD EST,DIRECTION REGIONALE SUD EST,
83,SERVICE ENSEIGNE REGIONALE PROXI SUD EST,DIRECTION REGIONALE SUD EST,
84,SERVICE MULTI ENSEIGNE REGIONALE SUD EST 2,DIRECTION REGIONALE SUD EST,
85,SERVICE MULTI ENSEIGNE REGIONALE SUD EST 4,DIRECTION REGIONALE SUD EST,
86,SERVICE DEVELOPPEMENT COMMERCIAL REGIONAL SUD EST,DIRECTION REGIONALE SUD EST,
87,SERVICE MULTI ENSEIGNE REGIONALE SUD EST 3,DIRECTION REGIONALE SUD EST,
88,PROXIMITE DIRECTION ENSEIGNE REGIONALE DEPLOIEMENT,SERVICE DEVELOPPEMENT REGIONALE SUD EST,
89,SERVICE TELEVENTE SALON,SERVICE DEVELOPPEMENT COMMERCIAL REGIONAL SUD EST,
90,SERVICE TELEVENTE MACON,SERVICE DEVELOPPEMENT COMMERCIAL REGIONAL SUD EST,
91,ENTREPOT LAPALUS SUD EST,SERVICE DEVELOPPEMENT COMMERCIAL REGIONAL SUD EST,
92,ENTREPOT MONTEL SUD EST,SERVICE DEVELOPPEMENT COMMERCIAL REGIONAL SUD EST,
93,DIRECTION JURIDIQUE OPERATIONS GROUPE,DIRECTION JURIDIQUE GROUPE,
94,DIRECTION ASSURANCES GROUPE,DIRECTION JURIDIQUE GROUPE,
95,DIRECTION JURIDIQUE FUSIONS & ACQUISITIONS,DIRECTION JURIDIQUE GROUPE,
96,DIRECTION JURIDIQUE CORPORATE,DIRECTION JURIDIQUE GROUPE,
97,DIRECTION PROTECTION DONNEES PERSONNELLES,DIRECTION JURIDIQUE GROUPE,
98,"DIRECTION ETHIQUE, CONFORMITE ET DPO GROUPE",DIRECTION JURIDIQUE GROUPE,
99,DIRECTION JURIDIQUE POLE CONTRATS,DIRECTION JURIDIQUE OPERATIONS GROUPE,
100,POLE MARCHANDISES ET PROPRIETE INTELLECTUELLE GROUPE,DIRECTION JURIDIQUE OPERATIONS GROUPE,
101,DIRECTION JURIDIQUE POLE CONSOMMATION,DIRECTION JURIDIQUE OPERATIONS GROUPE,
102,POLE FRANCHISE GROUPE,DIRECTION JURIDIQUE OPERATIONS GROUPE,
103,SERVICE JURIDIQUE SUD OUEST,POLE FRANCHISE GROUPE,
104,SERVICE JURIDIQUE SUD EST,POLE FRANCHISE GROUPE,
105,SERVICE JURIDIQUE ILE DE France,POLE FRANCHISE GROUPE,
106,SERVICE JURIDIQUE OUEST,POLE FRANCHISE GROUPE,
107,SERVICE JURIDIQUE NORD EST,POLE FRANCHISE GROUPE,
108,DIRECTION ASSURANCE,DIRECTION JURIDIQUE CORPORATE,
109,SERVICE JURIDIQUE BANQUE,DIRECTION JURIDIQUE CORPORATE,
110,Gestion des Risques & Outils et Méthodes,DIRECTION AUDIT,
111,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,DIRECTION RESSOURCES HUMAINES,
112,DIRECTION EFFECTIFS ET REMUNERATIONS,DIRECTION RESSOURCES HUMAINES,
113,DIRECTION EXECUTIVE IMMOBILIER,DIRECTION RESSOURCES HUMAINES,
114,DIRECTION DES SERVICES AUX COLLABORATEURS SIEGE,DIRECTION RESSOURCES HUMAINES,
115,DIRECTION DES RESSOURCES HUMAINES SIEGES ET IMMOBILIER,DIRECTION RESSOURCES HUMAINES,
116,DIRECTION TALENT MANAGEMENT,DIRECTION RESSOURCES HUMAINES,
117,DIRECTION GENERALE CARMILA,DIRECTION RESSOURCES HUMAINES,
118,DIRECTION TRANSFORMATION RH,DIRECTION RESSOURCES HUMAINES,
119,DIRECTION IMMOBILIER INTERNATIONAL,DIRECTION RESSOURCES HUMAINES,
120,DIRECTION RESSOURCES HUMAINES PROXIMITE PROMOCASH,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
121,"DIRECTION RESSOURCES HUMAINES EMPLOI & RECRUTEMENT, TALENTS ET DEVELOPPEMENT RH",DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
122,DIRECTION PERFORMANCE RH,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
123,DIRECTION RESSOURCES HUMAINES HYPERMARCHES,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
124,DIRECTION PAIE ET SOLUTIONS RH,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
125,DIRECTION FORMATION,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
126,DIRECTION DES RESSOURCES HUMAINES SUPPLY CHAIN,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
127,DIRECTION RESSOURCES HUMAINES SERVICES FINANCIERS ET MARCHANDS,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
128,DIRECTION PREVENTION ET SANTE,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
129,DIRECTION RESSOURCES HUMAINES MARCHANDISES,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
130,DIRECTION DES RELATIONS SOCIALES,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
131,DIRECTION RESSOURCES HUMAINES MARKET,DIRECTION RESSOURCES HUMAINES OPERATIONS FRANCE,
132,,DIRECTION RESSOURCES HUMAINES PROXIMITE PROMOCASH,
133,DIRECTION DEVELOPPEMENT RH,DIRECTION RESSOURCES HUMAINES PROXIMITE PROMOCASH,
134,RECRUTEMENT SIEGES & OPERATIONNELS,"DIRECTION RESSOURCES HUMAINES EMPLOI & RECRUTEMENT, TALENTS ET DEVELOPPEMENT RH",
135,COMM & EVENEMENTS,"DIRECTION RESSOURCES HUMAINES EMPLOI & RECRUTEMENT, TALENTS ET DEVELOPPEMENT RH",
136,SOURCING & RELATIONS ECOLES,"DIRECTION RESSOURCES HUMAINES EMPLOI & RECRUTEMENT, TALENTS ET DEVELOPPEMENT RH",
137,ATTRACTIVITE CANDIDATS,"DIRECTION RESSOURCES HUMAINES EMPLOI & RECRUTEMENT, TALENTS ET DEVELOPPEMENT RH",
138,DIRECTION TALENTS & DEVELOPPEMENT RH FRANCE,"DIRECTION RESSOURCES HUMAINES EMPLOI & RECRUTEMENT, TALENTS ET DEVELOPPEMENT RH",
139,RECRUTEMENTS OPERATIONNELS INTEGRES ET PUBLICATION,RECRUTEMENT SIEGES & OPERATIONNELS,
140,RECRUTEMENT FRANCHISE,RECRUTEMENT SIEGES & OPERATIONNELS,
141,TALENTS ET PLANS DE SUCCESSION,DIRECTION TALENTS & DEVELOPPEMENT RH FRANCE,
142,PASSERELLES ET PROSPECTIVES METIERS,DIRECTION TALENTS & DEVELOPPEMENT RH FRANCE,
143,VIVIER DIRECTEURS HYPERMARCHES,TALENTS ET PLANS DE SUCCESSION,
144,POLE OPS DRANCY,VIVIER DIRECTEURS HYPERMARCHES,
145,POLE ARCS DRANCY,VIVIER DIRECTEURS HYPERMARCHES,
146,POLE AMBIANCE MARCHE DRANCY,VIVIER DIRECTEURS HYPERMARCHES,
147,FONCTIONS SUPPORT DRANCY,VIVIER DIRECTEURS HYPERMARCHES,
148,NON ALIMENTAIRE REFERENT BACK EPCS DRANCY,POLE OPS DRANCY,
149,ALIMENTAIRE REFERENT EPICERIE DRANCY,POLE OPS DRANCY,
150,REFERENT FLUX RECEPTION DRANCY,POLE OPS DRANCY,
151,COMPETENCE PARAPHARMACIE DRANCY,POLE OPS DRANCY,
152,NON ALIMENTAIRE COMPETENCE TEXTILE DRANCY,POLE OPS DRANCY,
